,indeed,monster,simplyhired,avg
SQL,0.7023098883986504,0.6345598845598845,0.7004691447131,0.6791129725572116
Python,0.6932260576174409,0.6273448773448773,0.7051605918440996,0.675243842268806
Spark,0.5304957176226317,0.468975468975469,0.5027066041140382,0.5007259302373797
AWS,0.4754736568907345,0.4018759018759019,0.46445326596896425,0.44726760824520023
Java,0.42304697638204,0.4227994227994228,0.41934319740166004,0.4217298655277076
Hadoop,0.4290163508954062,0.43362193362193363,0.39660772284373874,0.4197486691203595
Hive,0.29275888917726445,0.2846320346320346,0.2594731143991339,0.278954679402811
Scala,0.2683623150791591,0.2694805194805195,0.2865391555395164,0.2747939966997317
Kafka,0.2675837010121983,0.2601010101010101,0.2619992782389029,0.26322799645070377
NoSQL,0.2610952504541915,0.23484848484848486,0.2392638036809816,0.24506917966121933
Redshift,0.2398131326239294,0.15584415584415584,0.21869361241429086,0.2047836336274587
Azure,0.2286529976641578,0.15764790764790765,0.21652832912306028,0.2009430781450419
Linux,0.16091357383856736,0.1893939393939394,0.1613136051966799,0.1705403728097289
R,0.15546327536984167,0.18037518037518038,0.16420064958498737,0.1666797017766698
Tableau,0.1736309369322606,0.1443001443001443,0.17899675207506316,0.16564261110248935
Oracle,0.14793667272255384,0.1746031746031746,0.1591483219054493,0.16056272307705924
SQL Server,0.1261354788476512,0.1691919191919192,0.14363045831829666,0.14631928545262238
Hbase,0.13521930962886064,0.11688311688311688,0.10826416456153014,0.12012219702450255
Git,0.12016610433428497,0.1075036075036075,0.12775171418260556,0.11847380867349934
Cassandra,0.11679211004412146,0.12626262626262627,0.10826416456153014,0.11710630028942597
Airflow,0.12457825071372956,0.08008658008658008,0.1367737278960664,0.11381285289879202
Snowflake,0.11471580586555931,0.09126984126984126,0.11403825333814507,0.10667463349118189
Docker,0.1087464313521931,0.08694083694083694,0.1122338505954529,0.10264037296282764
MySQL,0.09966260057098365,0.07936507936507936,0.11476001443522194,0.09792923145709498
PostgreSQL,0.07656371658447962,0.11471861471861472,0.08552869000360881,0.09227034043556771
C++,0.09369322605761744,0.07539682539682539,0.10285095633345363,0.09064700259596549
MongoDB,0.084609395276408,0.08477633477633478,0.0833634067123782,0.08424971225504031
GCP,0.1087464313521931,0.05916305916305916,0.0844460483579935,0.08411851295774858
Jenkins,0.08616662341032962,0.08405483405483405,0.07181522915914833,0.08067889554143733
Google Cloud,0.08149493900856475,0.07178932178932179,0.07975460122699386,0.07767962067496013
Pig,0.08097586296392421,0.07539682539682539,0.07434139299891736,0.07690469378655566
Lambda,0.09343368803529717,0.05303030303030303,0.07831107903284013,0.07492502336614677
